,lat,lng,counts
847,36.3569,127.3601,4
848,36.5588,128.1774,4
849,35.2271,-80.0,4
850,37.0058,-121.0,4
851,34.6913,135.183,4
852,35.0292,126.7175,4
853,34.9618,-89.0,4
854,37.4056,-122.0,4
855,37.5303,127.1246,4
856,37.5662,126.9777,4
857,37.5992,-1.0,4
858,37.6688,-122.0,4
859,41.2191,-104.0,4
860,41.35,2.0833,4
861,49.8347,18.282,4
862,48.702,2.5466,4
863,47.3948,0.704,4
864,47.7333,20.2667,4
865,47.9658,126.0196,4
866,48.1958,-114.0,4
867,32.9682,-96.0,4
868,48.5172,34.6062,4
869,48.5665,13.4312,4
870,32.9245,-96.0,4
871,46.434,19.4848,4
872,48.7178,2.4934,4
873,48.8763,2.3183,4
874,48.8833,8.3333,4
875,48.9496,2.5684,4
876,49.1191,6.1727,4
877,49.2322,28.4687,4
878,49.7472,3.073,4
879,46.5833,125.0,4
880,33.471,-81.0,4
881,42.0411,-87.0,4
882,43.8664,10.3446,4
883,33.9533,-117.0,4
884,27.2939,-80.0,4
885,42.4584,14.2028,4
886,43.0367,44.6678,4
887,43.7542,11.1879,4
888,43.8487,25.9534,4
889,33.7283,-117.0,4
890,44.0486,43.0594,4
891,46.2022,6.1457,4
892,44.8404,0.0,4
893,45.008,34.0266,4
894,45.4221,9.0634,4
895,33.5856,130.4295,4
896,45.6668,-73.0,4
897,45.8082,9.0832,4
898,45.8334,-64.0,4
899,27.6768,84.4359,4
900,65.0124,25.4682,4
901,16.8248,100.2586,4
902,10.2415,106.3758,4
903,4.3831,102.4011,4
904,2.0371,45.3438,4
905,13.1119,99.9447,4
906,13.1073,-59.0,4
907,10.9621,79.3912,4
908,5.647,100.4877,4
909,25.3374,55.4121,4
910,25.3167,83.0104,4
911,21.3996,105.2222,4
912,2.9353,101.6911,4
913,16.4328,103.5066,4
914,20.6347,-103.0,4
915,26.4652,80.3498,4
916,3.0095,-76.0,4
917,16.5074,80.6466,4
918,23.5654,119.5863,4
919,10.2909,105.7563,4
920,9.1768,105.1524,4
921,13.3622,100.9835,4
922,10.9804,106.6519,4
923,19.05,72.8667,4
924,10.9184,-74.0,4
925,22.7233,75.87,4
926,4.7464,-75.0,4
927,13.7765,109.2237,4
928,4.8517,31.5825,4
929,1.5495,103.708,4
930,1.55,110.3333,4
931,11.6538,78.1554,4
932,18.5805,99.0075,4
933,25.5941,85.1356,4
934,19.4517,-70.0,4
935,22.2916,70.7932,4
936,10.346,107.0843,4
937,14.6644,121.0469,4
938,2.7297,101.9381,4
939,24.6877,46.7219,4
940,6.8045,-58.0,4
941,3.1073,101.6067,4
942,20.941,106.333,4
943,14.6037,-61.0,4
944,17.4139,78.5053,4
945,4.0847,-76.0,4
946,17.4688,106.6223,4
947,7.3915,-73.0,4
948,16.8163,107.1003,4
949,6.7497,125.3572,4
950,53.4106,-2.0,3
951,34.0806,-118.0,3
952,34.1478,-118.0,3
953,48.752,8.0052,3
954,53.3925,-2.0,3
955,39.7359,-75.0,3
956,11.535,106.8832,3
957,39.7851,-86.0,3
958,48.6328,2.4405,3
959,41.0318,28.9684,3
960,47.685,16.5905,3
961,33.4188,-86.0,3
962,53.3038,-60.0,3
963,34.0614,-118.0,3
964,47.6897,11.7706,3
965,11.9214,109.1591,3
966,34.0482,-118.0,3
967,54.6197,39.74,3
968,39.9906,116.2887,3
969,39.5539,-104.0,3
970,23.8179,90.1148,3
971,11.3428,77.7274,3
972,48.8322,2.3561,3
973,47.6333,26.25,3
974,54.9198,82.9909,3
975,34.6841,33.0379,3
976,22.7604,-102.0,3
977,34.6798,126.8992,3
978,48.9905,1.7167,3
979,48.9833,2.6167,3
980,48.9667,2.25,3
981,34.5794,-118.0,3
982,18.8842,-96.0,3
983,18.8772,-99.0,3
984,48.8925,2.3444,3
985,53.1333,23.1643,3
986,53.1585,48.4681,3
987,54.7818,32.0401,3
988,41.0685,29.0059,3
989,48.8412,2.3003,3
990,33.4923,73.048,3
991,53.2144,63.6246,3
992,40.9276,-73.0,3
993,34.0211,-118.0,3
994,18.5141,-88.0,3
995,40.0395,-84.0,3
996,40.767,-72.0,3
997,33.8933,35.5016,3
998,33.5871,-84.0,3
999,40.4554,-80.0,3
1000,33.8703,-117.0,3
1001,48.3064,14.2861,3
1002,40.7484,-73.0,3
1003,23.7591,90.4003,3
1004,23.9591,120.6852,3
1005,33.6,130.4167,3
1006,40.5187,-78.0,3
1007,40.5555,-3.0,3
