,datetime,lat,lng,counts,date
3180,2021-08-19 11:00:06,51.1658,10.4216,1,2021-08-19
3181,2021-08-19 11:01:47,51.5085,0.0,1,2021-08-19
3182,2021-08-19 11:03:03,23.1167,113.25,1,2021-08-19
3183,2021-08-19 11:03:41,37.566,126.9784,1,2021-08-19
3184,2021-08-19 11:11:58,37.3058,-78.0,1,2021-08-19
3185,2021-08-19 11:13:30,48.8534,2.3488,1,2021-08-19
3186,2021-08-19 11:13:45,57.6299,39.8737,1,2021-08-19
3187,2021-08-19 11:14:02,43.2567,76.9286,1,2021-08-19
3188,2021-08-19 11:14:14,37.566,126.9784,1,2021-08-19
3189,2021-08-19 11:14:45,48.8534,2.3488,1,2021-08-19
3190,2021-08-19 11:16:02,14.5333,100.9167,1,2021-08-19
3191,2021-08-19 11:16:26,25.7743,-80.0,1,2021-08-19
3192,2021-08-19 11:17:14,45.504,-73.0,1,2021-08-19
3193,2021-08-19 11:18:47,13.4383,-16.0,1,2021-08-19
3194,2021-08-19 11:19:32,23.1167,113.25,1,2021-08-19
3195,2021-08-19 11:19:42,10.4138,76.2606,1,2021-08-19
3196,2021-08-19 11:20:27,49.6117,6.13,1,2021-08-19
3197,2021-08-19 11:20:36,23.1167,113.25,1,2021-08-19
3198,2021-08-19 11:20:50,31.2222,121.4581,1,2021-08-19
3199,2021-08-19 11:20:50,39.9075,116.3972,1,2021-08-19
3200,2021-08-19 11:20:50,49.2234,3.9889,1,2021-08-19
3201,2021-08-19 11:21:12,54.9158,37.4111,1,2021-08-19
3202,2021-08-19 11:21:37,48.5839,7.7455,1,2021-08-19
3203,2021-08-19 11:22:52,40.8043,-74.0,1,2021-08-19
3204,2021-08-19 11:23:35,39.9075,116.3972,1,2021-08-19
3205,2021-08-19 11:24:10,50.5217,30.2506,1,2021-08-19
3206,2021-08-19 11:24:39,37.4565,126.7052,1,2021-08-19
3207,2021-08-19 11:26:14,37.3924,-121.0,1,2021-08-19
3208,2021-08-19 11:26:28,23.1167,113.25,1,2021-08-19
3209,2021-08-19 11:26:49,39.0373,-77.0,1,2021-08-19
3210,2021-08-19 11:28:18,40.8043,-74.0,1,2021-08-19
3211,2021-08-19 11:28:35,39.9075,116.3972,1,2021-08-19
3212,2021-08-19 11:29:01,21.0245,105.8412,1,2021-08-19
3213,2021-08-19 11:29:11,34.0522,-118.0,1,2021-08-19
3214,2021-08-19 11:29:20,2.9936,101.5726,1,2021-08-19
3215,2021-08-19 11:31:09,23.1167,113.25,1,2021-08-19
3216,2021-08-19 11:33:02,31.2222,121.4581,1,2021-08-19
3217,2021-08-19 11:34:38,40.8043,-74.0,1,2021-08-19
3218,2021-08-19 11:34:40,40.8043,-74.0,1,2021-08-19
3219,2021-08-19 11:35:37,16.0678,108.2208,1,2021-08-19
3220,2021-08-19 11:36:05,16.0678,108.2208,1,2021-08-19
3221,2021-08-19 11:36:10,16.0678,108.2208,1,2021-08-19
3222,2021-08-19 11:36:20,10.823,106.6296,1,2021-08-19
3223,2021-08-19 11:37:28,16.0678,108.2208,1,2021-08-19
3224,2021-08-19 11:40:05,16.0678,108.2208,1,2021-08-19
3225,2021-08-19 11:45:40,16.0678,108.2208,1,2021-08-19
3226,2021-08-19 11:46:28,10.823,106.6296,1,2021-08-19
3227,2021-08-19 11:57:03,52.374,4.8897,1,2021-08-19
3228,2021-08-19 12:07:56,36.175,-115.0,1,2021-08-19
3229,2021-08-19 12:21:01,37.6819,-121.0,1,2021-08-19
3230,2021-08-19 12:23:14,37.2911,127.0089,1,2021-08-19
3231,2021-08-19 12:23:33,37.3058,-78.0,1,2021-08-19
3232,2021-08-19 12:23:35,22.5455,114.0683,1,2021-08-19
3233,2021-08-19 12:24:27,40.8043,-74.0,1,2021-08-19
3234,2021-08-19 12:24:51,37.566,126.9784,1,2021-08-19
3235,2021-08-19 12:25:23,23.1167,113.25,1,2021-08-19
3236,2021-08-19 12:25:40,23.1167,113.25,1,2021-08-19
3237,2021-08-19 12:26:16,31.2222,121.4581,1,2021-08-19
3238,2021-08-19 12:26:17,22.2783,114.1747,1,2021-08-19
3239,2021-08-19 12:27:17,50.4779,12.3713,1,2021-08-19
3240,2021-08-19 12:31:15,5.556,0.0,1,2021-08-19
3241,2021-08-19 12:37:09,49.6117,6.13,1,2021-08-19
3242,2021-08-19 12:44:03,48.8534,2.3488,1,2021-08-19
3243,2021-08-19 12:44:43,40.8344,-74.0,1,2021-08-19
3244,2021-08-19 12:45:09,39.9075,116.3972,1,2021-08-19
3245,2021-08-19 12:54:38,52.374,4.8897,1,2021-08-19
3246,2021-08-19 12:55:52,23.1167,113.25,1,2021-08-19
3247,2021-08-19 12:58:35,52.3808,4.6368,1,2021-08-19
